noDEE,DockRMSD,obrms
0.093268871307373,0.00852513313293457,0.0596659183502197
0.0929579734802246,0.00839900970458984,0.059406042098999
0.0951931476593018,0.00838398933410645,0.05914306640625
0.0939319133758545,0.00822210311889648,0.0590610504150391
0.0931599140167236,0.00832700729370117,0.062190055847168
0.0928530693054199,0.00849413871765137,0.0591230392456055
0.0935580730438232,0.00893807411193848,0.0592679977416992
0.0926198959350586,0.0105690956115723,0.0592899322509766
0.0918920040130615,0.00836896896362305,0.059596061706543
0.0936200618743896,0.00828003883361816,0.0593550205230713
